5639	47	21	10	12
7047	71	30	9	14
4080	64	18	6	12
3664	40	17	6	6
8632	70	26	8	13
7279	62	25	.	15
4258	81	30	6	13
10184	74	31	12	14
7713	56	24	7	11
13025	74	32	10	12
4030	75	23	.	11
713	75	26	7	17
17589	73	28	8	19
18178	44	16	.	13
19901	38	14	9	3
13643	96	24	7	17
9806	43	19	4	2
18991	40	17	.	9
8129	32	15	5	10
1590	77	25	.	19
10508	38	17	9	5
1017	80	37	7	16
3945	94	32	8	14
10695	41	18	9	8
9386	81	35	9	17
73	43	15	.	6
5672	90	34	9	18
6493	71	28	10	16
1437	87	26	7	17
2514	48	18	7	5
10249	30	10	4	6
18706	71	24	.	12
781	41	18	.	9
7099	65	31	8	18
9324	88	23	9	20
6015	85	30	6	12
16047	76	31	9	17
14707	9	4	.	0
8658	63	28	9	15
2301	11	4	.	0
3748	91	26	7	19
14960	87	33	8	15
20095	90	31	.	17
9632	94	43	10	19
11501	97	29	7	15
15925	25	12	.	1
5607	23	12	6	8
11770	97	34	10	17
13875	61	30	5	10
13702	82	31	9	16
15181	68	39	9	12
16327	42	17	9	9
19142	73	21	8	15
13382	41	16	8	4
9371	46	20	7	10
542	95	34	8	18
7148	87	37	11	18
12064	59	23	6	14
6984	63	31	9	12
996	97	32	11	18
1490	68	34	6	15
21283	69	24	8	15
14774	47	17	4	14
17142	92	32	8	16
3067	74	29	7	12
15195	79	24	4	9
14702	92	35	12	18
19926	84	30	8	13
5708	65	28	3	13
19833	58	21	7	12
7518	71	37	7	17
14989	71	26	.	13
8621	90	20	7	18
11836	88	32	9	17
11288	37	19	7	6
12557	73	27	.	13
8237	82	33	11	17
3786	94	37	8	19
4343	47	19	4	9
31	52	26	6	6
851	89	36	9	18
11518	82	26	6	16
10840	75	34	9	16
10060	80	37	10	17
19402	46	23	10	5
21141	86	39	11	16
16349	79	29	6	17
13120	78	26	10	12
15940	72	28	9	11
14579	67	29	10	14
1117	89	32	6	14
3554	93	34	8	19
10120	72	28	6	16
12457	85	28	7	19
15758	76	26	8	18
3485	80	29	9	16
21084	67	22	6	11
