1658	106	117	78	29	9	18
1673	102	116	82	32	8	14
1676	102	115	48	23	9	8
1677	118	135	60	23	7	12
1680	.	121	41	11	.	8
1683	104	121	86	29	7	14
1684	115	127	16	4	2	0
1685	115	123	47	19	8	15
1698	102	115	59	25	6	13
1711	102	117	41	14	6	8
1718	105	116	60	16	6	8
1726	103	117	44	18	4	9
1733	.	121	61	22	.	15
1755	107	122	71	23	6	15
1767	103	115	90	38	10	19
1775	.	125	64	25	.	13
1776	104	124	55	19	6	14
1780	107	110	43	19	10	11
1786	104	114	81	34	12	14
1795	102	113	53	27	7	12
1797	103	118	72	29	6	16
1811	111	122	52	27	6	9
1827	101	125	47	23	9	11
1833	102	117	96	37	8	18
1836	106	123	90	39	7	17
1840	.	130	70	29	.	12
1842	102	124	99	38	8	18
1843	.	120	67	21	.	18
1844	114	122	47	22	7	14
1847	.	133	84	31	.	18
1860	102	117	62	29	10	12
1865	101	114	50	23	6	13
1867	102	114	78	28	7	14
1871	.	123	57	13	.	9
1891	113	115	39	14	6	10
1893	103	120	71	22	4	12
1919	101	121	57	23	8	9
1920	102	115	57	28	6	13
1925	109	120	64	27	7	11
1930	102	121	96	34	6	16
1931	100	123	83	29	7	16
1935	104	121	72	20	7	12
1944	113	121	48	13	6	8
1945	.	122	68	23	.	13
1953	102	116	34	14	9	6
1959	106	115	45	12	4	8
1968	101	122	94	41	9	17
1970	.	118	60	24	.	14
1976	119	119	45	24	11	10
1979	104	117	85	25	8	13
1980	120	129	67	19	.	14
1982	102	118	78	35	8	14
1998	104	122	57	20	6	11
1999	104	117	61	22	8	13
2013	.	117	91	23	.	19
2017	100	117	63	19	6	16
2019	105	115	46	21	9	13
2025	104	114	45	14	6	12
2026	103	114	91	34	10	17
2030	103	118	81	24	7	14
2042	102	117	56	19	4	9
2050	103	114	42	10	2	1
2053	113	122	91	34	7	19
2058	104	118	58	21	5	10
2062	102	115	87	32	8	18
2064	102	115	82	34	11	15
2078	103	115	75	26	2	14
2082	101	123	93	37	10	18
2084	105	117	64	23	8	16
2086	105	117	85	30	11	15
2115	104	113	55	21	9	14
2120	105	120	42	17	8	9
2122	103	119	53	21	9	12
2124	102	114	88	25	8	13
2125	101	115	85	19	6	14
2129	103	117	39	17	8	14
2130	.	126	29	12	.	5
2142	102	118	96	29	8	17
2144	108	118	39	19	6	10
2146	101	114	66	26	8	12
2160	.	118	94	34	.	19
2161	103	116	29	15	6	6
2162	104	118	83	33	5	15
2167	114	123	61	34	8	15
2181	100	115	82	33	6	16
2184	102	118	88	30	10	19
2186	102	118	71	29	6	13
2192	102	124	81	29	8	14
2203	104	115	39	16	6	8
2204	104	117	56	14	6	15
2206	103	119	14	11	8	3
2215	104	114	46	18	8	11
2221	.	119	98	40	.	18
2232	.	130	97	40	.	18
2238	103	117	50	24	10	9
2240	103	114	58	20	6	12
2244	104	120	70	26	7	13
2248	105	114	84	30	8	15
2249	105	114	78	37	9	13
2253	101	119	62	29	9	18
2256	104	133	91	31	6	20
2266	103	118	79	33	7	13
